Lead_ID,Lead_Score,Priority_Bucket,Conversion_Probability
1,99.37,Hot,0.9937
2,18.13,Cold,0.1813
3,18.28,Cold,0.1828
4,15.46,Cold,0.1546
5,98.98,Hot,0.9898
6,17.33,Cold,0.1733
7,99.02,Hot,0.9902
8,6.69,Cold,0.0669
9,14.38,Cold,0.1438
10,34.98,Cold,0.3498
11,57.24,Warm,0.5724
12,91.8,Hot,0.918
13,42.77,Warm,0.4277
14,14.99,Cold,0.1499
15,3.48,Cold,0.0348
16,20.62,Cold,0.2062
17,31.47,Cold,0.3147
18,90.82,Hot,0.9082
19,75.63,Hot,0.7563
20,71.9,Hot,0.719
21,35.6,Cold,0.356
22,73.95,Hot,0.7395
23,75.5,Hot,0.755
24,63.47,Warm,0.6347
25,3.12,Cold,0.0312
26,10.07,Cold,0.1007
27,7.59,Cold,0.0759
28,29.0,Cold,0.29
29,96.68,Hot,0.9668
30,20.61,Cold,0.2061
31,21.5,Cold,0.215
32,20.5,Cold,0.205
33,35.6,Cold,0.356
34,13.53,Cold,0.1353
35,85.81,Hot,0.8581
36,19.04,Cold,0.1904
37,49.93,Warm,0.4993
38,72.17,Hot,0.7217
39,94.34,Hot,0.9434
40,11.67,Cold,0.1167
41,62.22,Warm,0.6222
42,35.6,Cold,0.356
43,34.68,Cold,0.3468
44,76.61,Hot,0.7661
45,16.14,Cold,0.1614
46,27.49,Cold,0.2749
47,25.44,Cold,0.2544
48,31.43,Cold,0.3143
49,22.58,Cold,0.2258
50,6.69,Cold,0.0669
51,82.84,Hot,0.8284
52,79.58,Hot,0.7958
53,44.4,Warm,0.444
54,13.37,Cold,0.1337
55,60.59,Warm,0.6059
56,72.46,Hot,0.7246
57,93.17,Hot,0.9317
58,3.64,Cold,0.0364
59,70.82,Hot,0.7082
60,6.28,Cold,0.0628
61,36.29,Cold,0.3629
62,19.0,Cold,0.19
63,19.25,Cold,0.1925
64,17.14,Cold,0.1714
65,55.27,Warm,0.5527
66,77.48,Hot,0.7748
67,96.08,Hot,0.9608
68,34.67,Cold,0.3467
69,18.19,Cold,0.1819
70,25.04,Cold,0.2504
71,95.5,Hot,0.955
72,96.51,Hot,0.9651
73,43.97,Warm,0.4397
74,65.24,Warm,0.6524
75,83.93,Hot,0.8393
76,74.13,Hot,0.7413
77,21.5,Cold,0.215
78,14.28,Cold,0.1428
79,65.91,Warm,0.6591
80,78.75,Hot,0.7875
81,36.1,Cold,0.361
82,18.28,Cold,0.1828
83,30.63,Cold,0.3063
84,20.77,Cold,0.2077
85,36.32,Cold,0.3632
86,42.56,Warm,0.4256
87,10.86,Cold,0.1086
88,79.73,Hot,0.7973
89,16.41,Cold,0.1641
90,81.33,Hot,0.8133
91,73.14,Hot,0.7314
92,15.18,Cold,0.1518
93,6.18,Cold,0.0618
94,30.18,Cold,0.3018
95,61.43,Warm,0.6143
96,14.97,Cold,0.1497
97,14.2,Cold,0.142
98,92.17,Hot,0.9217
99,17.22,Cold,0.1722
100,98.03,Hot,0.9803
101,68.06,Warm,0.6806
102,14.63,Cold,0.1463
103,4.78,Cold,0.0478
104,18.52,Cold,0.1852
105,79.47,Hot,0.7947
106,69.86,Warm,0.6986
107,59.69,Warm,0.5969
108,75.78,Hot,0.7578
109,10.92,Cold,0.1092
110,87.86,Hot,0.8786
111,59.68,Warm,0.5968
112,12.46,Cold,0.1246
113,95.31,Hot,0.9531
114,92.27,Hot,0.9227
115,47.27,Warm,0.4727
116,16.03,Cold,0.1603
117,37.53,Cold,0.3753
118,14.2,Cold,0.142
119,66.12,Warm,0.6612
120,81.33,Hot,0.8133
121,43.99,Warm,0.4399
122,14.51,Cold,0.1451
123,63.91,Warm,0.6391
124,61.95,Warm,0.6195
125,47.65,Warm,0.4765
126,18.99,Cold,0.1899
127,45.87,Warm,0.4587
128,62.38,Warm,0.6238
129,49.9,Warm,0.499
130,16.73,Cold,0.1673
131,74.2,Hot,0.742
132,81.73,Hot,0.8173
133,20.44,Cold,0.2044
134,17.67,Cold,0.1767
135,33.1,Cold,0.331
136,7.31,Cold,0.0731
137,54.79,Warm,0.5479
138,21.26,Cold,0.2126
139,14.08,Cold,0.1408
140,75.96,Hot,0.7596
141,9.79,Cold,0.0979
142,20.54,Cold,0.2054
143,19.01,Cold,0.1901
144,91.91,Hot,0.9191
145,16.57,Cold,0.1657
146,11.57,Cold,0.1157
147,21.72,Cold,0.2172
148,65.2,Warm,0.652
149,94.05,Hot,0.9405
150,61.0,Warm,0.61
151,14.84,Cold,0.1484
152,79.07,Hot,0.7907
153,86.52,Hot,0.8652
154,85.57,Hot,0.8557
155,84.29,Hot,0.8429
156,92.33,Hot,0.9233
157,14.35,Cold,0.1435
158,35.08,Cold,0.3508
159,70.22,Hot,0.7022
160,18.32,Cold,0.1832
161,74.07,Hot,0.7407
162,25.04,Cold,0.2504
163,17.39,Cold,0.1739
164,10.43,Cold,0.1043
165,49.0,Warm,0.49
166,18.37,Cold,0.1837
167,42.67,Warm,0.4267
168,95.4,Hot,0.954
169,14.24,Cold,0.1424
170,10.33,Cold,0.1033
171,35.57,Cold,0.3557
172,53.43,Warm,0.5343
173,70.38,Hot,0.7038
174,5.82,Cold,0.0582
175,66.9,Warm,0.669
176,6.28,Cold,0.0628
177,15.14,Cold,0.1514
178,13.85,Cold,0.1385
179,66.42,Warm,0.6642
180,69.86,Warm,0.6986
181,8.38,Cold,0.0838
182,97.05,Hot,0.9705
183,14.36,Cold,0.1436
184,27.51,Cold,0.2751
185,89.93,Hot,0.8993
186,43.09,Warm,0.4309
187,62.96,Warm,0.6296
188,36.25,Cold,0.3625
189,21.77,Cold,0.2177
190,84.12,Hot,0.8412
191,16.33,Cold,0.1633
192,18.04,Cold,0.1804
193,75.5,Hot,0.755
194,3.71,Cold,0.0371
195,41.48,Warm,0.4148
196,17.38,Cold,0.1738
197,85.6,Hot,0.856
198,35.82,Cold,0.3582
199,36.14,Cold,0.3614
200,47.32,Warm,0.4732
201,70.55,Hot,0.7055
202,65.24,Warm,0.6524
203,64.49,Warm,0.6449
204,11.01,Cold,0.1101
205,8.07,Cold,0.0807
206,22.26,Cold,0.2226
207,78.73,Hot,0.7873
208,15.98,Cold,0.1598
209,20.89,Cold,0.2089
210,14.04,Cold,0.1404
211,11.62,Cold,0.1162
212,17.76,Cold,0.1776
213,75.74,Hot,0.7574
214,36.25,Cold,0.3625
215,49.35,Warm,0.4935
216,15.39,Cold,0.1539
217,69.71,Warm,0.6971
218,72.46,Hot,0.7246
219,14.0,Cold,0.14
220,44.4,Warm,0.444
221,5.78,Cold,0.0578
222,82.76,Hot,0.8276
223,83.57,Hot,0.8357
224,61.04,Warm,0.6104
225,43.99,Warm,0.4399
226,16.15,Cold,0.1615
227,15.95,Cold,0.1595
228,61.86,Warm,0.6186
229,37.17,Cold,0.3717
230,74.25,Hot,0.7425
231,16.15,Cold,0.1615
232,39.95,Cold,0.3995
233,70.38,Hot,0.7038
234,74.39,Hot,0.7439
235,72.67,Hot,0.7267
236,15.18,Cold,0.1518
237,16.39,Cold,0.1639
238,98.17,Hot,0.9817
239,72.28,Hot,0.7228
240,80.43,Hot,0.8043
241,67.81,Warm,0.6781
242,71.53,Hot,0.7153
243,14.06,Cold,0.1406
244,54.18,Warm,0.5418
245,70.53,Hot,0.7053
246,30.18,Cold,0.3018
247,18.1,Cold,0.181
248,24.71,Cold,0.2471
249,70.38,Hot,0.7038
250,37.1,Cold,0.371
251,8.76,Cold,0.0876
252,58.55,Warm,0.5855
253,15.94,Cold,0.1594
254,62.16,Warm,0.6216
255,77.48,Hot,0.7748
256,23.53,Cold,0.2353
257,42.56,Warm,0.4256
258,31.22,Cold,0.3122
259,33.3,Cold,0.333
260,59.65,Warm,0.5965
261,17.6,Cold,0.176
262,10.43,Cold,0.1043
263,21.46,Cold,0.2146
264,24.62,Cold,0.2462
265,56.25,Warm,0.5625
266,13.5,Cold,0.135
267,69.86,Warm,0.6986
268,41.31,Warm,0.4131
269,17.61,Cold,0.1761
270,87.05,Hot,0.8705
271,85.69,Hot,0.8569
272,70.24,Hot,0.7024
273,69.38,Warm,0.6938
274,80.62,Hot,0.8062
275,29.22,Cold,0.2922
276,75.94,Hot,0.7594
277,35.82,Cold,0.3582
278,7.31,Cold,0.0731
279,8.76,Cold,0.0876
280,81.32,Hot,0.8132
281,65.44,Warm,0.6544
